,County_Name,population,pop_below_poverty,pct_below_poverty,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year,Employment_Accommodation,Employment_Accommodation_and_Food_Services,Employment_Administrative_and_Support_Services,Employment_Administrative_and_Support_and_Waste_Management_and_Remediation_Services,"Employment_Agriculture,_Forestry,_Fishing_and_Hunting",Employment_Air_Transportation,Employment_Ambulatory_Health_Care_Services,"Employment_Amusement,_Gambling,_and_Recreation_Industries",Employment_Apparel_Manufacturing,"Employment_Arts,_Entertainment,_and_Recreation",Employment_Beverage_and_Tobacco_Product_Manufacturing,Employment_Broadcasting_(except_Internet),Employment_Building_Material_and_Garden_Equipment_and_Supplies_Dealers,Employment_Chemical_Manufacturing,Employment_Clothing_and_Clothing_Accessories_Stores,Employment_Computer_and_Electronic_Product_Manufacturing,Employment_Construction,Employment_Construction_of_Buildings,Employment_Couriers_and_Messengers,Employment_Credit_Intermediation_and_Related_Activities,"Employment_Data_Processing,_Hosting,_and_Related_Services",Employment_Educational_Services,"Employment_Electrical_Equipment,_Appliance,_and_Component_Manufacturing",Employment_Electronics_and_Appliance_Stores,Employment_Fabricated_Metal_Product_Manufacturing,Employment_Finance_and_Insurance,"Employment_Fishing,_Hunting_and_Trapping",Employment_Food_Manufacturing,Employment_Food_Services_and_Drinking_Places,Employment_Food_and_Beverage_Stores,Employment_Forestry_and_Logging,"Employment_Funds,_Trusts,_and_Other_Financial_Vehicles",Employment_Furniture_and_Home_Furnishings_Stores,Employment_Furniture_and_Related_Product_Manufacturing,Employment_Gasoline_Stations,Employment_General_Merchandise_Stores,Employment_Health_Care_and_Social_Assistance,Employment_Health_and_Personal_Care_Stores,Employment_Heavy_and_Civil_Engineering_Construction,Employment_Hospitals,Employment_Industries_not_classified,Employment_Information,Employment_Insurance_Carriers_and_Related_Activities,Employment_Lessors_of_Nonfinancial_Intangible_Assets_(except_Copyrighted_Works),Employment_Machinery_Manufacturing,Employment_Management_of_Companies_and_Enterprises,Employment_Manufacturing,"Employment_Merchant_Wholesalers,_Durable_Goods","Employment_Merchant_Wholesalers,_Nondurable_Goods",Employment_Mining_(except_Oil_and_Gas),"Employment_Mining,_Quarrying,_and_Oil_and_Gas_Extraction",Employment_Miscellaneous_Manufacturing,Employment_Miscellaneous_Store_Retailers,Employment_Motion_Picture_and_Sound_Recording_Industries,Employment_Motor_Vehicle_and_Parts_Dealers,"Employment_Museums,_Historical_Sites,_and_Similar_Institutions",Employment_Nonmetallic_Mineral_Product_Manufacturing,Employment_Nonstore_Retailers,Employment_Nursing_and_Residential_Care_Facilities,Employment_Other_Information_Services,Employment_Other_Services_(except_Public_Administration),Employment_Paper_Manufacturing,"Employment_Performing_Arts,_Spectator_Sports,_and_Related_Industries",Employment_Personal_and_Laundry_Services,Employment_Petroleum_and_Coal_Products_Manufacturing,Employment_Pipeline_Transportation,Employment_Plastics_and_Rubber_Products_Manufacturing,Employment_Primary_Metal_Manufacturing,Employment_Printing_and_Related_Support_Activities,"Employment_Professional,_Scientific,_and_Technical_Services",Employment_Publishing_Industries_(except_Internet),Employment_Real_Estate,Employment_Real_Estate_and_Rental_and_Leasing,"Employment_Religious,_Grantmaking,_Civic,_Professional,_and_Similar_Organizations",Employment_Rental_and_Leasing_Services,Employment_Repair_and_Maintenance,Employment_Retail_Trade,Employment_Scenic_and_Sightseeing_Transportation,"Employment_Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Employment_Social_Assistance,Employment_Specialty_Trade_Contractors,"Employment_Sporting_Goods,_Hobby,_Musical_Instrument,_and_Book_Stores",Employment_Support_Activities_for_Agriculture_and_Forestry,Employment_Support_Activities_for_Mining,Employment_Support_Activities_for_Transportation,Employment_Telecommunications,Employment_Textile_Mills,Employment_Textile_Product_Mills,Employment_Total,Employment_Transit_and_Ground_Passenger_Transportation,Employment_Transportation_Equipment_Manufacturing,Employment_Transportation_and_Warehousing,Employment_Truck_Transportation,Employment_Utilities,Employment_Warehousing_and_Storage,Employment_Waste_Management_and_Remediation_Services,Employment_Water_Transportation,Employment_Wholesale_Electronic_Markets_and_Agents_and_Brokers,Employment_Wholesale_Trade,Employment_Wood_Product_Manufacturing
0,Accomack County,"32,325","6,141",19.00%,1119986,67460,181644,129706,858335,25567,20126,132313,1580822,57189,49695,1606389,-129338,355088,392966,32325,3801,77315,246497,19926,16125,796174,2019,259.0,1010.0,398.0,421.0,20.0,,694.0,73.0,,88.0,,,90.0,,86.0,,291.0,96.0,,85.0,,60.0,,,,239.0,12.0,2930.0,751.0,242.0,,,16.0,,283.0,320.0,1145.0,57.0,35.0,,,114.0,146.0,,,,3082.0,31.0,78.0,,,,67.0,,97.0,9.0,56.0,49.0,,,395.0,,6.0,51.0,,,,,,840.0,,59.0,76.0,245.0,17.0,99.0,1337.0,,8.0,293.0,160.0,25.0,,,,77.0,,,9075.0,,,114.0,57.0,168.0,,,,,130.0,
1,Albemarle County,"100,293","9,142",9.10%,8516598,503727,1099244,847618,6196611,-1492,-11201,927536,11925057,861952,75885,11923565,-1392451,4541613,1185341,157126,27056,850751,1523053,136653,109597,6142794,2019,679.0,4921.0,2298.0,2374.0,109.0,138.0,4396.0,897.0,,1607.0,634.0,72.0,560.0,82.0,615.0,545.0,2292.0,582.0,294.0,573.0,16.0,1666.0,,88.0,79.0,2322.0,,22.0,4242.0,1415.0,11.0,,372.0,18.0,333.0,1291.0,8526.0,238.0,79.0,,10.0,750.0,1524.0,,108.0,964.0,2605.0,191.0,232.0,59.0,68.0,265.0,204.0,143.0,945.0,389.0,,641.0,2240.0,121.0,1637.0,,321.0,507.0,,,,,353.0,8306.0,202.0,774.0,895.0,827.0,121.0,303.0,6924.0,,223.0,846.0,1631.0,222.0,98.0,,59.0,196.0,,,41641.0,98.0,,682.0,65.0,,9.0,76.0,,24.0,447.0,154.0
2,Alleghany County,"14,830","2,925",19.70%,501496,38180,65423,58456,412284,-444,-783,67408,821559,18452,40015,821115,-21804,131915,276916,20520,1424,17669,94651,9760,8336,389176,2019,77.0,400.0,72.0,72.0,,,236.0,13.0,,15.0,,,34.0,,,,133.0,6.0,,29.0,,22.0,,,,46.0,,,323.0,89.0,,,,,76.0,74.0,859.0,29.0,57.0,,,24.0,16.0,,,,261.0,7.0,,,,,19.0,,28.0,,,38.0,405.0,,197.0,,,22.0,,,,,,72.0,,23.0,23.0,111.0,,64.0,396.0,,,,70.0,,,,,,,,2533.0,,,18.0,15.0,,,,,,27.0,96.0
3,Amelia County,"12,861","1,375",10.70%,170244,13804,19010,15622,353626,12812,9223,21615,559980,24982,43865,572792,204997,78275,140891,13058,1813,34205,26821,4615,2802,109218,2019,,120.0,61.0,95.0,39.0,,76.0,,,,,,8.0,,,,466.0,73.0,,18.0,,94.0,,,,32.0,,,118.0,,39.0,,,12.0,62.0,18.0,292.0,,11.0,,,13.0,14.0,,,,167.0,93.0,21.0,,,,,,18.0,,,,129.0,,102.0,,,15.0,,,,,,134.0,,11.0,11.0,43.0,,44.0,244.0,,,87.0,382.0,,,,,,,,1925.0,,,104.0,41.0,,,,,3.0,117.0,117.0
4,Amherst County,"30,994","4,327",14.00%,469950,38937,64076,49606,661161,-787,-1537,63740,1190613,35007,37560,1189826,254951,182621,346044,31678,2935,33470,88879,11571,8636,347601,2019,15.0,634.0,127.0,135.0,30.0,,162.0,26.0,,28.0,21.0,,209.0,,25.0,,484.0,91.0,,92.0,,984.0,,,167.0,115.0,,,619.0,259.0,28.0,,,13.0,102.0,277.0,688.0,54.0,,,,21.0,20.0,,262.0,134.0,1311.0,68.0,,,,,45.0,,129.0,,,23.0,194.0,,310.0,,,40.0,,,,,,394.0,,11.0,12.0,199.0,,71.0,1139.0,,,332.0,374.0,,,,,,,,6136.0,,,282.0,228.0,,,,,,175.0,48.0
5,Appomattox County,"15,624","2,062",13.20%,173150,16319,24220,16908,356267,-2546,-3399,24773,624064,20654,39084,621518,207890,88961,176290,15902,1757,17255,32674,5308,3551,123221,2019,18.0,261.0,34.0,37.0,59.0,,324.0,22.0,,28.0,,,84.0,,,,202.0,41.0,,79.0,,,,,58.0,96.0,,,243.0,96.0,58.0,,,,66.0,219.0,496.0,42.0,28.0,,,9.0,17.0,,,,92.0,46.0,,,,,26.0,,77.0,,,26.0,93.0,,204.0,,,32.0,,,,,8.0,90.0,,16.0,16.0,141.0,,31.0,690.0,,,79.0,133.0,22.0,,,,,,,2376.0,,,25.0,4.0,,,,,,67.0,
6,Arlington County,"230,287","15,625",6.80%,26118990,1456928,2994913,2799020,17124579,0,0,2856438,23390078,1412876,98116,23390078,-6137973,5132688,1132811,238392,35307,1412876,4394423,241448,206141,20311691,2019,4405.0,19137.0,10083.0,10088.0,,3418.0,3652.0,2249.0,,2796.0,,1018.0,145.0,,1622.0,14.0,1391.0,814.0,69.0,1544.0,1374.0,8990.0,,361.0,,3962.0,,121.0,14732.0,2213.0,,,341.0,,255.0,866.0,10585.0,930.0,183.0,,14.0,7663.0,697.0,17.0,,8550.0,206.0,564.0,67.0,,,4.0,319.0,379.0,779.0,10.0,6.0,301.0,1694.0,717.0,15492.0,,537.0,2353.0,,,,,31.0,100798.0,3383.0,2925.0,3389.0,12491.0,447.0,648.0,8318.0,,1719.0,2112.0,394.0,186.0,,,507.0,792.0,,,148180.0,712.0,,4825.0,46.0,,,5.0,,11.0,642.0,
7,Augusta County,"70,773","6,128",8.70%,3215529,223273,396442,331416,3267718,25425,17967,388981,5519631,319772,44917,5545056,441170,1037180,1240158,123452,13897,337739,562150,66458,52561,2315640,2019,294.0,1529.0,959.0,1021.0,14.0,,1167.0,39.0,,61.0,,,129.0,,206.0,43.0,1851.0,327.0,425.0,181.0,,216.0,,,807.0,307.0,,2127.0,1235.0,415.0,,,39.0,36.0,363.0,134.0,3834.0,89.0,150.0,,5.0,94.0,92.0,,701.0,54.0,5366.0,503.0,464.0,26.0,26.0,591.0,69.0,,579.0,,,118.0,455.0,,850.0,,22.0,103.0,,,500.0,,,916.0,,144.0,180.0,430.0,36.0,317.0,2197.0,,34.0,278.0,1374.0,47.0,11.0,,69.0,72.0,,,21666.0,,,2679.0,1053.0,,1114.0,62.0,,27.0,994.0,207.0
8,Bath County,"4,231",460,10.90%,135703,9449,17580,14588,114862,1488,999,16743,272339,6350,65682,273827,-4098,105319,53646,4169,594,7349,24874,2986,2392,103480,2019,953.0,1008.0,8.0,22.0,3.0,,,9.0,,11.0,,,,,,,102.0,24.0,,,,,,,,,,,55.0,37.0,,,,,9.0,9.0,270.0,,26.0,,,12.0,,,,,85.0,,,,,,6.0,,,,,,,,66.0,,,,,,,,,48.0,,36.0,37.0,53.0,,,78.0,,,,52.0,,,,,11.0,,,1872.0,,,,,,,,,,,73.0
9,Bedford County,"77,746","6,917",8.90%,1189208,100154,136570,122348,2180296,-5660,-7505,161328,3727551,147709,46857,3721891,1152416,722491,819104,79431,10292,140204,197744,30939,20647,851260,2019,97.0,1424.0,1637.0,1714.0,83.0,,981.0,249.0,,299.0,36.0,,422.0,344.0,77.0,1372.0,1353.0,483.0,,259.0,124.0,102.0,,,219.0,433.0,,55.0,1327.0,671.0,80.0,,34.0,238.0,212.0,354.0,2325.0,153.0,78.0,,3.0,183.0,137.0,,409.0,142.0,4106.0,251.0,236.0,,,55.0,112.0,,430.0,46.0,86.0,81.0,676.0,,1174.0,,4.0,293.0,,,17.0,,633.0,1840.0,11.0,226.0,242.0,656.0,16.0,225.0,2631.0,,37.0,250.0,792.0,71.0,3.0,,21.0,40.0,,,17799.0,4.0,,274.0,225.0,,,77.0,,,488.0,127.0
10,Bland County,"5,480",564,10.30%,138487,10278,22522,14820,120812,258,-91,17688,232125,8699,36933,232383,13,35741,75830,6292,668,8608,29932,2821,2153,99947,2019,,48.0,,,,,90.0,,,,,,,,,,24.0,,,,,,,,,,,,45.0,,,,,,51.0,,135.0,,,,,56.0,,,,,470.0,,,,,,,,13.0,,,,,,69.0,,,,,,,,,,,,,42.0,,24.0,93.0,,,,24.0,,,,,,,,1246.0,,,5.0,,,,,,,,
11,Botetourt County,"32,938","2,126",6.50%,731961,54930,86862,78130,1036106,-2306,-3588,93995,1711398,56513,51018,1709092,398140,319912,353074,33500,4283,52925,125927,16612,12329,553109,2019,104.0,891.0,683.0,706.0,,,362.0,82.0,,90.0,,,41.0,,,,1519.0,118.0,,191.0,,54.0,,,290.0,237.0,,,787.0,290.0,,,,,171.0,,1023.0,48.0,934.0,,,55.0,35.0,,1268.0,30.0,2851.0,360.0,265.0,,,,52.0,,48.0,,265.0,18.0,588.0,,579.0,,5.0,52.0,,,,,7.0,438.0,,104.0,143.0,372.0,20.0,155.0,730.0,,,73.0,467.0,5.0,,,38.0,34.0,,,10717.0,,,937.0,572.0,,300.0,23.0,,13.0,638.0,
12,Brunswick County,"14,128","2,883",20.40%,198299,17557,29509,21816,255914,-792,-2600,28465,535511,8072,33056,534719,86080,81478,197327,16176,1360,5472,40417,5364,4004,152410,2019,,122.0,413.0,442.0,241.0,,84.0,,,,,,25.0,,,,181.0,39.0,,23.0,,,,,,46.0,,,101.0,93.0,237.0,,,,86.0,,160.0,,,,,,23.0,,,,305.0,16.0,49.0,,,,,,,,,,74.0,,72.0,,,15.0,,,,,,92.0,,30.0,30.0,38.0,,19.0,271.0,,,2.0,139.0,,4.0,,,,,,2247.0,9.0,,119.0,108.0,98.0,,29.0,,,65.0,207.0
13,Buchanan County,"20,822","5,905",28.40%,495288,39893,62281,51070,367404,-296,-351,65428,773354,47883,36758,773058,-62456,87464,318190,21031,1106,47532,87816,8084,6978,359940,2019,,258.0,217.0,219.0,16.0,,204.0,,,22.0,,,23.0,,35.0,,168.0,27.0,,132.0,,,,,111.0,169.0,,,235.0,178.0,16.0,,32.0,,110.0,197.0,563.0,77.0,63.0,,,35.0,29.0,,15.0,,230.0,84.0,96.0,1515.0,1776.0,,,,52.0,,,,143.0,,185.0,,,30.0,,,,,,396.0,,19.0,28.0,55.0,,100.0,715.0,,,,78.0,,,261.0,,24.0,,,5090.0,,,170.0,156.0,,,,,,180.0,
14,Buckingham County,"14,856","2,340",15.80%,213881,17509,32501,21530,284436,2029,925,28274,519497,20267,30438,521526,98829,74072,163018,17134,1553,21192,43266,5158,3605,149423,2019,,98.0,33.0,37.0,89.0,,170.0,,,,,,8.0,,,,179.0,24.0,,17.0,,144.0,,,,23.0,,,95.0,111.0,88.0,,,,74.0,40.0,334.0,,50.0,,,,6.0,,,,138.0,18.0,,93.0,93.0,,,,58.0,,,13.0,,,167.0,,,12.0,,,,,,98.0,,5.0,5.0,114.0,,41.0,312.0,,,83.0,105.0,,,,,,,,1748.0,,,64.0,53.0,,,,,,30.0,87.0
15,Campbell County,"54,525","5,983",11.00%,4670118,302204,531780,522744,2788659,57,-1971,563576,5169824,209356,37702,5169881,-1317883,891779,1489443,137124,13302,207385,793152,90810,77508,3669581,2019,88.0,1487.0,726.0,852.0,47.0,,433.0,41.0,,213.0,,,108.0,,114.0,,2125.0,169.0,,269.0,,266.0,,16.0,2464.0,380.0,,574.0,1399.0,556.0,44.0,,,,255.0,404.0,1215.0,137.0,236.0,,,116.0,97.0,,99.0,1206.0,4508.0,578.0,100.0,,,5.0,102.0,,421.0,,29.0,38.0,369.0,,1057.0,,172.0,129.0,,,149.0,,142.0,1478.0,13.0,95.0,102.0,706.0,7.0,222.0,2225.0,,14.0,413.0,1720.0,40.0,,,85.0,93.0,,,17184.0,,214.0,586.0,435.0,,,126.0,,29.0,707.0,196.0
16,Caroline County,"28,019","2,466",8.80%,385963,30089,58319,40376,847477,2353,502,50277,1341030,33655,43694,1343383,511791,219950,275956,30745,3090,34157,78507,9712,6622,273299,2019,77.0,584.0,84.0,87.0,9.0,,89.0,,,127.0,,,26.0,,,,342.0,77.0,,,,148.0,,,,256.0,,,507.0,208.0,,,,,278.0,,318.0,,23.0,,,5.0,22.0,,,,294.0,52.0,288.0,,,,18.0,,11.0,,,,,,316.0,,,45.0,,,,,,280.0,,22.0,22.0,169.0,,102.0,640.0,,,98.0,242.0,,,,,,,,4091.0,,,276.0,130.0,220.0,,,,3.0,343.0,226.0
17,Carroll County,"29,538","4,315",14.60%,601741,49830,80197,64844,648234,648,-1446,82252,1291416,54536,35549,1292064,128745,182962,460868,36346,3657,53090,112619,16386,12729,436032,2019,141.0,629.0,119.0,124.0,,,279.0,47.0,,48.0,,,168.0,,41.0,,149.0,41.0,,68.0,,,,,,93.0,,,488.0,127.0,,,,,220.0,56.0,711.0,33.0,20.0,,,,24.0,,,,878.0,25.0,143.0,,,,7.0,,42.0,,47.0,,238.0,,220.0,,,26.0,,,,,,248.0,,26.0,38.0,103.0,12.0,91.0,733.0,,,194.0,88.0,,,,,,,,4077.0,,,118.0,101.0,,,,,,168.0,102.0
18,Charles City County,"6,984",919,13.20%,122030,9676,14366,12454,181328,4558,3364,15903,328231,9561,47753,332789,75201,70563,80898,6969,758,12925,20593,2587,1829,88512,2019,,33.0,41.0,85.0,24.0,,,,,39.0,,,,,,,365.0,,,,,12.0,,,50.0,4.0,,,,,24.0,,,14.0,70.0,,,,26.0,,,,,,,,358.0,39.0,,,,,,,,27.0,,,,,99.0,,,10.0,,,,,,110.0,,9.0,26.0,82.0,,7.0,120.0,,,,336.0,,,,,,,,1609.0,,,265.0,262.0,,,44.0,,,81.0,
19,Charlotte County,"11,801","2,798",23.70%,163439,14467,24165,16738,205157,-831,-2572,22836,423473,18742,35669,422642,64554,72017,145468,11849,1615,16170,32534,4766,3151,114735,2019,,127.0,47.0,47.0,108.0,,89.0,,,16.0,,,26.0,,,,69.0,22.0,,38.0,,,,,,50.0,,,96.0,88.0,108.0,,,,47.0,,298.0,,,,,,12.0,,,,500.0,58.0,,,,,,,25.0,,,,175.0,,72.0,,,23.0,,,,,,62.0,,11.0,11.0,41.0,,8.0,298.0,,,34.0,40.0,22.0,,,,,,,1897.0,,,200.0,135.0,,,,,,65.0,497.0
